Date,Energy Required (MU)
02-May-12,255.639
03-May-12,258.47
04-May-12,261.393
05-May-12,252.866
06-May-12,250.566
07-May-12,258.248
08-May-12,263.541
09-May-12,266.493
10-May-12,254.416
11-May-12,254.027
12-May-12,256.962
13-May-12,238.803
14-May-12,262.773
15-May-12,263.833
16-May-12,259.041
17-May-12,264.371
18-May-12,267.596
19-May-12,262.897
20-May-12,258.687
21-May-12,271.894
22-May-12,279.686
23-May-12,276.753
24-May-12,274.711
25-May-12,271.717
26-May-12,268.904
27-May-12,260.872
28-May-12,267.995
29-May-12,273.322
30-May-12,275.958
31-May-12,274.938
01-Jun-12,274.57
02-Jun-12,270.43
03-Jun-12,271.587
04-Jun-12,271.41
05-Jun-12,275.584
06-Jun-12,273.103
07-Jun-12,277.301
08-Jun-12,270.416
09-Jun-12,263.011
10-Jun-12,248.256
11-Jun-12,264.548
12-Jun-12,263.724
13-Jun-12,261.45
14-Jun-12,263.232
15-Jun-12,263.546
16-Jun-12,263.173
17-Jun-12,231.763
18-Jun-12,206.827
19-Jun-12,208.616
20-Jun-12,213.936
21-Jun-12,225.71
22-Jun-12,234.109
23-Jun-12,238.243
24-Jun-12,238.323
25-Jun-12,250.453
26-Jun-12,241.245
27-Jun-12,244.139
28-Jun-12,250.724
29-Jun-12,252.314
30-Jun-12,248.001
01-Jul-12,235.487
02-Jul-12,239.8
03-Jul-12,246.982
04-Jul-12,252.951
05-Jul-12,255.555
06-Jul-12,263.798
07-Jul-12,261.607
08-Jul-12,253.109
09-Jul-12,250.139
10-Jul-12,253.08
11-Jul-12,261.763
12-Jul-12,267.463
13-Jul-12,265.562
14-Jul-12,258.094
15-Jul-12,243.596
16-Jul-12,240.852
17-Jul-12,247.36
18-Jul-12,242.756
19-Jul-12,244.338
20-Jul-12,237.74
21-Jul-12,225.796
22-Jul-12,221.755
23-Jul-12,248.055
24-Jul-12,255.048
25-Jul-12,250.132
26-Jul-12,250.057
27-Jul-12,251.197
28-Jul-12,251.607
29-Jul-12,245.03
30-Jul-12,245.524
31-Jul-12,248.4
01-Aug-12,249.731
02-Aug-12,257.956
03-Aug-12,249.759
04-Aug-12,242.677
05-Aug-12,243.155
06-Aug-12,245.171
07-Aug-12,252.85
08-Aug-12,261.428
09-Aug-12,267.184
10-Aug-12,257.62
11-Aug-12,260.056
12-Aug-12,252.052
13-Aug-12,259.74
14-Aug-12,261.979
15-Aug-12,269.205
16-Aug-12,265.068
17-Aug-12,269.036
18-Aug-12,270.861
19-Aug-12,275.102
20-Aug-12,275.194
21-Aug-12,273.259
22-Aug-12,288.103
23-Aug-12,275.506
24-Aug-12,278.422
25-Aug-12,264.524
26-Aug-12,254.524
27-Aug-12,254.655
28-Aug-12,263.698
29-Aug-12,271.734
30-Aug-12,254.745
31-Aug-12,258.881
01-Sep-12,264.186
02-Sep-12,261.139
03-Sep-12,248.594
04-Sep-12,223.712
05-Sep-12,242.34
06-Sep-12,258.918
07-Sep-12,272.627
08-Sep-12,274.887
09-Sep-12,267.524
10-Sep-12,266.129
11-Sep-12,263.589
12-Sep-12,276.469
13-Sep-12,278.723
14-Sep-12,284.052
15-Sep-12,278.658
16-Sep-12,281.872
17-Sep-12,290.602
18-Sep-12,289.242
19-Sep-12,297.645
20-Sep-12,290.989
21-Sep-12,285.607
22-Sep-12,279.107
23-Sep-12,277.539
24-Sep-12,283.601
25-Sep-12,293.288
26-Sep-12,295.09
27-Sep-12,297.827
28-Sep-12,301.301
29-Sep-12,290.17
30-Sep-12,266.38
01-Oct-12,256.165
02-Oct-12,238.841
03-Oct-12,245.088
04-Oct-12,253.763
05-Oct-12,268.947
06-Oct-12,261.784
07-Oct-12,269.055
08-Oct-12,277.607
09-Oct-12,282.899
10-Oct-12,289.623
11-Oct-12,292.423
12-Oct-12,295.866
13-Oct-12,292.207
14-Oct-12,286.304
15-Oct-12,296.628
16-Oct-12,295.817
17-Oct-12,295.842
18-Oct-12,296.828
19-Oct-12,289.924
20-Oct-12,269.542
21-Oct-12,256.16
22-Oct-12,260.897
23-Oct-12,264.045
24-Oct-12,268.583
25-Oct-12,268.699
26-Oct-12,279.708
27-Oct-12,280.531
28-Oct-12,276.521
29-Oct-12,286.088
30-Oct-12,284.889
31-Oct-12,261.202
01-Nov-12,225.027
02-Nov-12,218.671
03-Nov-12,224.272
04-Nov-12,221.15
05-Nov-12,238.247
06-Nov-12,243.112
07-Nov-12,254.117
08-Nov-12,259.915
09-Nov-12,253.824
10-Nov-12,250.158
11-Nov-12,248.034
12-Nov-12,250.63
13-Nov-12,244.138
14-Nov-12,245.667
15-Nov-12,255.141
16-Nov-12,254.037
17-Nov-12,246.192
18-Nov-12,243.124
19-Nov-12,251.483
20-Nov-12,261.658
21-Nov-12,266.683
22-Nov-12,265.798
23-Nov-12,261.232
24-Nov-12,258.05
25-Nov-12,252.93
26-Nov-12,263.304
27-Nov-12,265.326
28-Nov-12,264.946
29-Nov-12,265.601
30-Nov-12,260.667
01-Dec-12,258.596
02-Dec-12,252.034
03-Dec-12,255.971
04-Dec-12,254.189
05-Dec-12,254.359
06-Dec-12,265.628
07-Dec-12,268.281
08-Dec-12,266.481
09-Dec-12,264.017
10-Dec-12,271.497
11-Dec-12,270.29
12-Dec-12,278.057
13-Dec-12,278.73
14-Dec-12,279.91
15-Dec-12,273.956
16-Dec-12,264.25
17-Dec-12,271.461
18-Dec-12,272.271
19-Dec-12,277.586
20-Dec-12,276.937
21-Dec-12,277.636
22-Dec-12,273.389
23-Dec-12,268.634
24-Dec-12,277.768
25-Dec-12,278.88
26-Dec-12,275.193
27-Dec-12,277.375
28-Dec-12,279.058
29-Dec-12,266.802
30-Dec-12,264.601
31-Dec-12,276.377
01-Jan-13,280.443
02-Jan-13,283.278
03-Jan-13,290.606
04-Jan-13,294.943
05-Jan-13,289.781
06-Jan-13,283.396
07-Jan-13,299.253
08-Jan-13,298.281
09-Jan-13,300.285
10-Jan-13,289.664
11-Jan-13,283.997
12-Jan-13,280.996
13-Jan-13,270.524
14-Jan-13,269.287
15-Jan-13,265.434
16-Jan-13,283.552
17-Jan-13,295.738
18-Jan-13,294.733
19-Jan-13,293.653
20-Jan-13,280.116
21-Jan-13,293.638
22-Jan-13,289.682
23-Jan-13,299.951
24-Jan-13,302.7
25-Jan-13,300.807
26-Jan-13,285.064
27-Jan-13,277.674
28-Jan-13,290.087
29-Jan-13,284.68
30-Jan-13,290.921
31-Jan-13,294.138
01-Feb-13,294.505
02-Feb-13,292.64
03-Feb-13,285.813
04-Feb-13,296.051
05-Feb-13,299.169
06-Feb-13,305.237
07-Feb-13,310.678
08-Feb-13,295.756
09-Feb-13,286.025
10-Feb-13,278.706
11-Feb-13,292.489
12-Feb-13,302.944
13-Feb-13,302.945
14-Feb-13,302.913
15-Feb-13,299.793
16-Feb-13,260.956
17-Feb-13,235.004
18-Feb-13,253.994
19-Feb-13,261.91
20-Feb-13,264.738
21-Feb-13,272.977
22-Feb-13,283.93
23-Feb-13,279.19
24-Feb-13,277.396
25-Feb-13,292.801
26-Feb-13,297.631
27-Feb-13,306.106
28-Feb-13,311.767
01-Mar-13,309.741
02-Mar-13,304.091
03-Mar-13,296.68
04-Mar-13,298.518
05-Mar-13,302.5
06-Mar-13,309.808
07-Mar-13,305.449
08-Mar-13,306.7
09-Mar-13,309.408
10-Mar-13,301.807
11-Mar-13,309.072
12-Mar-13,303
13-Mar-13,312.844
14-Mar-13,312.482
15-Mar-13,310.617
16-Mar-13,306.298
17-Mar-13,299.963
18-Mar-13,310.333
19-Mar-13,314.247
20-Mar-13,313.174
21-Mar-13,317.364
22-Mar-13,308.042
23-Mar-13,306.984
24-Mar-13,300.95
25-Mar-13,313.087
26-Mar-13,318.828
27-Mar-13,304.362
28-Mar-13,312.547
29-Mar-13,318.531
30-Mar-13,320.284
31-Mar-13,312.914
01-Apr-13,307.665
02-Apr-13,293.242
03-Apr-13,295.132
04-Apr-13,307.147
05-Apr-13,301.393
06-Apr-13,302.33
07-Apr-13,303.835
08-Apr-13,308.829
09-Apr-13,308.733
10-Apr-13,310.668
11-Apr-13,309.195
12-Apr-13,304.594
13-Apr-13,295.217
14-Apr-13,287.956
15-Apr-13,299.11
16-Apr-13,297.416
17-Apr-13,303.427
18-Apr-13,309.298
19-Apr-13,304.41
20-Apr-13,273.368
21-Apr-13,262.081
22-Apr-13,268.187
23-Apr-13,269.174
24-Apr-13,277.684
25-Apr-13,282.463
26-Apr-13,276.273
27-Apr-13,279.228
28-Apr-13,272.512
29-Apr-13,285.689
30-Apr-13,286.819
01-May-13,276.469
02-May-13,284.347
03-May-13,288.398
04-May-13,287.367
05-May-13,273.332
06-May-13,288.814
07-May-13,288.622
08-May-13,291.352
09-May-13,295.113
10-May-13,296.333
11-May-13,289.896
12-May-13,267.573
13-May-13,275.502
14-May-13,278.342
15-May-13,278.105
16-May-13,288.798
17-May-13,289.956
18-May-13,285.895
19-May-13,277.067
20-May-13,285.135
21-May-13,284.05
22-May-13,294.092
23-May-13,294.445
24-May-13,293.38
25-May-13,286.826
26-May-13,270.409
27-May-13,270.014
28-May-13,275.987
29-May-13,269.818
30-May-13,266.196
31-May-13,271.158
01-Jun-13,258.391
02-Jun-13,246.974
03-Jun-13,258.15
04-Jun-13,253.63
05-Jun-13,258.312
06-Jun-13,253.34
07-Jun-13,251.738
08-Jun-13,236.286
09-Jun-13,233.106
10-Jun-13,244.75
11-Jun-13,246.794
12-Jun-13,242.327
13-Jun-13,240.778
14-Jun-13,230.972
15-Jun-13,233.921
16-Jun-13,238.644
17-Jun-13,255.874
18-Jun-13,262.211
19-Jun-13,268.992
20-Jun-13,272.031
21-Jun-13,265.811
22-Jun-13,254.016
23-Jun-13,245.882
24-Jun-13,244.944
25-Jun-13,237.695
26-Jun-13,246.04
27-Jun-13,254.075
28-Jun-13,261.742
29-Jun-13,264.98
30-Jun-13,256.512
01-Jul-13,258.65
02-Jul-13,269.193
03-Jul-13,269.131
04-Jul-13,263.195
05-Jul-13,260.967
06-Jul-13,265.51
07-Jul-13,252.41
08-Jul-13,257.785
09-Jul-13,253.063
10-Jul-13,252.961
11-Jul-13,239.006
12-Jul-13,230.017
13-Jul-13,238.439
14-Jul-13,238.542
15-Jul-13,248.208
16-Jul-13,246.414
17-Jul-13,236.758
18-Jul-13,237.776
19-Jul-13,223.588
20-Jul-13,224.201
21-Jul-13,226.224
22-Jul-13,224.8
23-Jul-13,215.097
24-Jul-13,226.911
25-Jul-13,236.556
26-Jul-13,244.125
27-Jul-13,248.259
28-Jul-13,245.97
29-Jul-13,252.095
30-Jul-13,256.215
31-Jul-13,228.782
01-Aug-13,223.583
02-Aug-13,234.67
03-Aug-13,248.023
04-Aug-13,248.365
05-Aug-13,245.411
06-Aug-13,240.367
07-Aug-13,246.271
08-Aug-13,256.604
09-Aug-13,257.619
10-Aug-13,259.358
11-Aug-13,258.602
12-Aug-13,249.554
13-Aug-13,242.279
14-Aug-13,248.257
15-Aug-13,227.58
16-Aug-13,222.948
17-Aug-13,221.484
18-Aug-13,220.596
19-Aug-13,230.334
