,Date,Energy Required (MU)
0,02-05-2012,255.639
1,03-05-2012,258.47
2,04-05-2012,261.393
3,05-05-2012,252.866
4,06-05-2012,250.566
5,07-05-2012,258.248
6,08-05-2012,263.541
7,09-05-2012,266.493
8,10-05-2012,254.416
9,11-05-2012,254.027
10,12-05-2012,256.962
11,13-05-2012,238.803
12,14-05-2012,262.773
13,15-05-2012,263.833
14,16-05-2012,259.041
15,17-05-2012,264.371
16,18-05-2012,267.596
17,19-05-2012,262.897
18,20-05-2012,258.687
19,21-05-2012,271.894
20,22-05-2012,279.686
21,23-05-2012,276.753
22,24-05-2012,274.711
23,25-05-2012,271.717
24,26-05-2012,268.904
25,27-05-2012,260.872
26,28-05-2012,267.995
27,29-05-2012,273.322
28,30-05-2012,275.958
29,31-05-2012,274.938
30,01-06-2012,274.57
31,02-06-2012,270.43
32,03-06-2012,271.587
33,04-06-2012,271.41
34,05-06-2012,275.584
35,06-06-2012,273.103
36,07-06-2012,277.301
37,08-06-2012,270.416
38,09-06-2012,263.011
39,10-06-2012,248.256
40,11-06-2012,264.548
41,12-06-2012,263.724
42,13-06-2012,261.45
43,14-06-2012,263.232
44,15-06-2012,263.546
45,16-06-2012,263.173
46,17-06-2012,231.763
47,18-06-2012,206.827
48,19-06-2012,208.616
49,20-06-2012,213.936
50,21-06-2012,225.71
51,22-06-2012,234.109
52,23-06-2012,238.243
53,24-06-2012,238.323
54,25-06-2012,250.453
55,26-06-2012,241.245
56,27-06-2012,244.139
57,28-06-2012,250.724
58,29-06-2012,252.314
59,30-06-2012,248.001
60,01-07-2012,235.487
61,02-07-2012,239.8
62,03-07-2012,246.982
63,04-07-2012,252.951
64,05-07-2012,255.555
65,06-07-2012,263.798
66,07-07-2012,261.607
67,08-07-2012,253.109
68,09-07-2012,250.139
69,10-07-2012,253.08
70,11-07-2012,261.763
71,12-07-2012,267.463
72,13-07-2012,265.562
73,14-07-2012,258.094
74,15-07-2012,243.596
75,16-07-2012,240.852
76,17-07-2012,247.36
77,18-07-2012,242.756
78,19-07-2012,244.338
79,20-07-2012,237.74
80,21-07-2012,225.796
81,22-07-2012,221.755
82,23-07-2012,248.055
83,24-07-2012,255.048
84,25-07-2012,250.132
85,26-07-2012,250.057
86,27-07-2012,251.197
87,28-07-2012,251.607
88,29-07-2012,245.03
89,30-07-2012,245.524
90,31-07-2012,248.4
91,01-08-2012,249.731
92,02-08-2012,257.956
93,03-08-2012,249.759
94,04-08-2012,242.677
95,05-08-2012,243.155
96,06-08-2012,245.171
97,07-08-2012,252.85
98,08-08-2012,261.428
99,09-08-2012,267.184
100,10-08-2012,257.62
101,11-08-2012,260.056
102,12-08-2012,252.052
103,13-08-2012,259.74
104,14-08-2012,261.979
105,15-08-2012,269.205
106,16-08-2012,265.068
107,17-08-2012,269.036
108,18-08-2012,270.861
109,19-08-2012,275.102
110,20-08-2012,275.194
111,21-08-2012,273.259
112,22-08-2012,288.103
113,23-08-2012,275.506
114,24-08-2012,278.422
115,25-08-2012,264.524
116,26-08-2012,254.524
117,27-08-2012,254.655
118,28-08-2012,263.698
119,29-08-2012,271.734
120,30-08-2012,254.745
121,31-08-2012,258.881
122,01-09-2012,264.186
123,02-09-2012,261.139
124,03-09-2012,248.594
125,04-09-2012,223.712
126,05-09-2012,242.34
127,06-09-2012,258.918
128,07-09-2012,272.627
129,08-09-2012,274.887
130,09-09-2012,267.524
131,10-09-2012,266.129
132,11-09-2012,263.589
133,12-09-2012,276.469
134,13-09-2012,278.723
135,14-09-2012,284.052
136,15-09-2012,278.658
137,16-09-2012,281.872
138,17-09-2012,290.602
139,18-09-2012,289.242
140,19-09-2012,297.645
141,20-09-2012,290.989
142,21-09-2012,285.607
143,22-09-2012,279.107
144,23-09-2012,277.539
145,24-09-2012,283.601
146,25-09-2012,293.288
147,26-09-2012,295.09
148,27-09-2012,297.827
149,28-09-2012,301.301
150,29-09-2012,290.17
151,30-09-2012,266.38
152,01-10-2012,256.165
153,02-10-2012,238.841
154,03-10-2012,245.088
155,04-10-2012,253.763
156,05-10-2012,268.947
157,06-10-2012,261.784
158,07-10-2012,269.055
159,08-10-2012,277.607
160,09-10-2012,282.899
161,10-10-2012,289.623
162,11-10-2012,292.423
163,12-10-2012,295.866
164,13-10-2012,292.207
165,14-10-2012,286.304
166,15-10-2012,296.628
167,16-10-2012,295.817
168,17-10-2012,295.842
169,18-10-2012,296.828
170,19-10-2012,289.924
171,20-10-2012,269.542
172,21-10-2012,256.16
173,22-10-2012,260.897
174,23-10-2012,264.045
175,24-10-2012,268.583
176,25-10-2012,268.699
177,26-10-2012,279.708
178,27-10-2012,280.531
179,28-10-2012,276.521
180,29-10-2012,286.088
181,30-10-2012,284.889
182,31-10-2012,261.202
183,01-11-2012,225.027
184,02-11-2012,218.671
185,03-11-2012,224.272
186,04-11-2012,221.15
187,05-11-2012,238.247
188,06-11-2012,243.112
189,07-11-2012,254.117
190,08-11-2012,259.915
191,09-11-2012,253.824
192,10-11-2012,250.158
193,11-11-2012,248.034
194,12-11-2012,250.63
195,13-11-2012,244.138
196,14-11-2012,245.667
197,15-11-2012,255.141
198,16-11-2012,254.037
199,17-11-2012,246.192
