,Time,Temperature,Dew Point,Humidity,Wind Speed,Pressure,Precipitation
0,2015-01-01,28 ,21 ,74,8 ,29.83 ,0.1 
1,2015-01-02,28 ,22 ,78,10 ,29.88 ,0.4 
2,2015-01-03,27 ,22 ,80,10 ,29.94 ,1.1 
3,2015-01-04,27 ,21 ,76,5 ,29.94 ,0.4 
4,2015-01-05,27 ,17 ,62,7 ,29.91 ,0.0 
5,2015-01-06,25 ,17 ,60,7 ,29.94 ,0.0 
6,2015-01-07,25 ,15 ,61,5 ,29.91 ,0.0 
7,2015-01-08,25 ,17 ,67,4 ,29.94 ,0.1 
8,2015-01-09,23 ,8 ,43,7 ,30.0 ,0.0 
9,2015-01-10,23 ,12 ,51,6 ,30.0 ,0.0 
10,2015-01-11,24 ,14 ,57,6 ,30.0 ,0.0 
11,2015-01-12,23 ,16 ,64,5 ,29.97 ,0.0 
12,2015-01-13,24 ,16 ,64,6 ,29.94 ,0.0 
13,2015-01-14,25 ,18 ,71,7 ,29.94 ,0.0 
14,2015-01-15,25 ,17 ,70,8 ,29.97 ,0.0 
15,2015-01-16,26 ,16 ,64,5 ,29.97 ,0.0 
16,2015-01-17,25 ,14 ,58,5 ,29.97 ,0.0 
17,2015-01-18,25 ,15 ,62,6 ,29.97 ,0.0 
18,2015-01-19,26 ,16 ,65,7 ,29.97 ,0.0 
19,2015-01-20,25 ,17 ,66,9 ,30.03 ,0.0 
20,2015-01-21,25 ,15 ,64,11 ,30.09 ,0.0 
21,2015-01-22,25 ,18 ,69,8 ,30.06 ,0.0 
22,2015-01-23,26 ,18 ,70,8 ,30.0 ,0.0 
23,2015-01-24,26 ,16 ,68,9 ,30.0 ,0.0 
24,2015-01-25,26 ,17 ,69,9 ,30.03 ,0.0 
25,2015-01-26,26 ,18 ,70,9 ,30.0 ,0.0 
26,2015-01-27,26 ,18 ,69,9 ,29.97 ,0.0 
27,2015-01-28,26 ,18 ,72,9 ,29.94 ,0.0 
28,2015-01-29,26 ,19 ,75,8 ,29.94 ,0.1 
29,2015-01-30,27 ,19 ,72,7 ,30.0 ,0.0 
30,2015-01-31,26 ,19 ,74,8 ,30.0 ,0.0 
31,2015-02-01,26 ,19 ,75,7 ,30.0 ,0.1 
32,2015-02-02,26 ,19 ,76,9 ,30.03 ,0.2 
33,2015-02-03,26 ,16 ,66,9 ,30.09 ,0.0 
34,2015-02-04,27 ,15 ,62,9 ,30.06 ,0.0 
35,2015-02-05,27 ,14 ,61,9 ,30.0 ,0.0 
36,2015-02-06,27 ,15 ,64,9 ,30.0 ,0.0 
37,2015-02-07,27 ,17 ,68,8 ,29.97 ,0.0 
38,2015-02-08,27 ,17 ,68,10 ,29.97 ,0.0 
39,2015-02-09,27 ,17 ,67,11 ,29.97 ,0.0 
40,2015-02-10,26 ,17 ,70,10 ,30.0 ,0.0 
41,2015-02-11,27 ,18 ,70,9 ,29.97 ,0.0 
42,2015-02-12,28 ,19 ,68,6 ,29.94 ,0.0 
43,2015-02-13,28 ,19 ,67,7 ,29.91 ,0.0 
44,2015-02-14,29 ,18 ,65,7 ,29.88 ,0.0 
45,2015-02-15,29 ,19 ,65,8 ,29.88 ,0.0 
46,2015-02-16,28 ,20 ,71,8 ,29.91 ,0.0 
47,2015-02-17,28 ,19 ,68,8 ,29.91 ,0.0 
48,2015-02-18,29 ,18 ,64,13 ,29.88 ,0.0 
49,2015-02-19,28 ,18 ,66,10 ,29.88 ,0.0 
50,2015-02-20,29 ,19 ,67,10 ,29.91 ,0.0 
51,2015-02-21,29 ,17 ,60,6 ,29.91 ,0.0 
52,2015-02-22,30 ,17 ,57,6 ,29.94 ,0.0 
53,2015-02-23,29 ,16 ,54,8 ,29.94 ,0.0 
54,2015-02-24,29 ,17 ,58,10 ,29.91 ,0.0 
55,2015-02-25,29 ,17 ,56,9 ,29.85 ,0.0 
56,2015-02-26,28 ,17 ,61,11 ,29.83 ,0.0 
57,2015-02-27,29 ,19 ,65,10 ,29.83 ,0.0 
58,2015-02-28,28 ,19 ,71,13 ,29.85 ,0.0 
59,2015-03-01,28 ,20 ,71,12 ,29.85 ,0.3 
60,2015-03-02,28 ,22 ,74,10 ,29.91 ,4.0 
61,2015-03-03,30 ,21 ,69,8 ,29.85 ,2.7 
62,2015-03-04,30 ,21 ,66,8 ,29.85 ,0.8 
63,2015-03-05,31 ,22 ,69,8 ,29.88 ,1.0 
64,2015-03-06,30 ,22 ,70,8 ,29.94 ,0.9 
65,2015-03-07,30 ,22 ,70,9 ,29.91 ,0.8 
66,2015-03-08,30 ,21 ,69,11 ,29.94 ,0.0 
67,2015-03-09,30 ,22 ,70,6 ,29.97 ,0.3 
68,2015-03-10,26 ,20 ,76,7 ,29.91 ,1.6 
69,2015-03-11,31 ,19 ,61,11 ,29.88 ,0.0 
70,2015-03-12,31 ,19 ,62,11 ,29.88 ,0.0 
71,2015-03-13,32 ,20 ,61,10 ,29.85 ,0.1 
72,2015-03-14,31 ,20 ,63,10 ,29.85 ,1.0 
73,2015-03-15,31 ,20 ,61,11 ,29.85 ,0.1 
74,2015-03-16,32 ,20 ,61,10 ,29.85 ,0.1 
75,2015-03-17,31 ,20 ,60,11 ,29.85 ,0.2 
76,2015-03-18,32 ,20 ,59,11 ,29.85 ,0.0 
77,2015-03-19,28 ,19 ,61,13 ,29.85 ,0.0 
78,2015-03-20,32 ,19 ,59,9 ,29.91 ,0.0 
79,2015-03-21,33 ,18 ,49,9 ,29.91 ,0.0 
80,2015-03-22,34 ,18 ,48,8 ,29.88 ,0.0 
81,2015-03-23,34 ,18 ,49,8 ,29.83 ,0.0 
82,2015-03-24,34 ,20 ,55,11 ,29.8 ,0.0 
83,2015-03-25,32 ,22 ,67,12 ,29.85 ,0.0 
84,2015-03-26,32 ,22 ,68,12 ,29.91 ,0.0 
85,2015-03-27,32 ,21 ,63,11 ,29.91 ,0.0 
86,2015-03-28,32 ,21 ,63,12 ,29.88 ,0.0 
87,2015-03-29,32 ,21 ,65,13 ,29.83 ,0.0 
88,2015-03-30,32 ,22 ,67,13 ,29.85 ,0.0 
89,2015-03-31,32 ,22 ,65,11 ,29.85 ,0.1 
90,2015-04-01,32 ,22 ,63,14 ,29.83 ,0.0 
91,2015-04-02,34 ,21 ,58,14 ,29.77 ,0.0 
