Filename,WBC Count
C:\Users\User\Downloads\Dewinter2023\Final_yolov5x\image_sample\2022-10-19-13-43-42.jpg,2
C:\Users\User\Downloads\Dewinter2023\Final_yolov5x\image_sample\2022-10-19-13-43-52.jpg,2
C:\Users\User\Downloads\Dewinter2023\Final_yolov5x\image_sample\2022-10-19-13-44-33.jpg,2
C:\Users\User\Downloads\Dewinter2023\Final_yolov5x\image_sample\2022-10-19-13-45-49.jpg,1
C:\Users\User\Downloads\Dewinter2023\Final_yolov5x\image_sample\2022-10-19-13-46-00.jpg,2
C:\Users\User\Downloads\Dewinter2023\Final_yolov5x\image_sample\2022-10-19-13-50-45.jpg,2
C:\Users\User\Downloads\Dewinter2023\Final_yolov5x\image_sample\2022-10-19-15-03-24.jpg,4
C:\Users\User\Downloads\Dewinter2023\Final_yolov5x\image_sample\2022-10-19-15-03-38.jpg,3
C:\Users\User\Downloads\Dewinter2023\Final_yolov5x\image_sample\2022-10-19-15-03-51.jpg,2
C:\Users\User\Downloads\Dewinter2023\Final_yolov5x\image_sample\2022-10-19-15-04-06.jpg,1
C:\Users\User\Downloads\Dewinter2023\Final_yolov5x\image_sample\2022-10-19-15-04-54.jpg,2
C:\Users\User\Downloads\Dewinter2023\Final_yolov5x\image_sample\2022-10-19-15-07-58.jpg,2
C:\Users\User\Downloads\Dewinter2023\Final_yolov5x\image_sample\2022-12-26-17-03-49.jpg,2
C:\Users\User\Downloads\Dewinter2023\Final_yolov5x\image_sample\2022-12-26-17-04-29.jpg,2
C:\Users\User\Downloads\Dewinter2023\Final_yolov5x\image_sample\2022-12-26-17-10-27.jpg,1
