RETAILER_ID,ONBOARDING_DATE,ONBOARDING_STATUS,MARKETING_CLUSTER,Week,SKU_ORDER_PRICE_AMOUNT,NET_SALE,SKU_RETURN_AMOUNT,RETURN_EGGS,REPLACED_EGGS,EGGS,FREQUENCY_RETAILER_WEEK,ret+rep%,Landing Price,Activity_age,billing_week,total_age,billing_week%,Activity_age%,cluster_label
46.0,2020-11-10T13:00:00Z,Cold,,1,3202.0,3202.0,0.0,0.0,38.0,296.0,2,0.12837837837837837,10.817567567567568,41,41.0,49,83.6734693877551,83.6734693877551,1
46.0,2020-11-10T13:00:00Z,Cold,,2,1836.0,1836.0,0.0,0.0,0.0,178.0,1,0.0,10.314606741573034,41,41.0,49,83.6734693877551,83.6734693877551,1
46.0,2020-11-10T13:00:00Z,Cold,,4,1494.0,1494.0,0.0,0.0,0.0,130.0,1,0.0,11.492307692307692,41,41.0,49,83.6734693877551,83.6734693877551,1
46.0,2020-11-10T13:00:00Z,Cold,,5,1312.0,1312.0,0.0,0.0,0.0,119.0,2,0.0,11.025210084033613,41,41.0,49,83.6734693877551,83.6734693877551,1
46.0,2020-11-10T13:00:00Z,Cold,,6,832.0,832.0,0.0,0.0,35.0,76.0,2,0.4605263157894737,10.947368421052632,41,41.0,49,83.6734693877551,83.6734693877551,1
46.0,2020-11-10T13:00:00Z,Cold,,7,1822.0,1822.0,0.0,0.0,18.0,172.0,2,0.10465116279069768,10.593023255813954,41,41.0,49,83.6734693877551,83.6734693877551,1
46.0,2020-11-10T13:00:00Z,Cold,,9,3830.25,3830.25,0.0,0.0,6.0,364.0,2,0.016483516483516484,10.522664835164836,41,41.0,49,83.6734693877551,83.6734693877551,1
46.0,2020-11-10T13:00:00Z,Cold,,10,922.5,922.5,0.0,0.0,0.0,80.0,1,0.0,11.53125,41,41.0,49,83.6734693877551,83.6734693877551,1
46.0,2020-11-10T13:00:00Z,Cold,,11,1222.5,1222.5,0.0,0.0,20.0,110.0,2,0.18181818181818182,11.113636363636363,41,41.0,49,83.6734693877551,83.6734693877551,1
46.0,2020-11-10T13:00:00Z,Cold,,12,2200.5,2200.5,0.0,0.0,0.0,203.0,2,0.0,10.839901477832512,41,41.0,49,83.6734693877551,83.6734693877551,1
46.0,2020-11-10T13:00:00Z,Cold,,13,941.25,941.25,0.0,0.0,25.0,95.0,2,0.2631578947368421,9.907894736842104,41,41.0,49,83.6734693877551,83.6734693877551,1
46.0,2020-11-10T13:00:00Z,Cold,,14,2122.5,2122.5,0.0,0.0,0.0,200.0,1,0.0,10.6125,41,41.0,49,83.6734693877551,83.6734693877551,1
46.0,2020-11-10T13:00:00Z,Cold,,15,1387.5,1387.5,0.0,0.0,32.0,130.0,2,0.24615384615384617,10.673076923076923,41,41.0,49,83.6734693877551,83.6734693877551,1
46.0,2020-11-10T13:00:00Z,Cold,,16,1387.5,1387.5,0.0,0.0,0.0,130.0,1,0.0,10.673076923076923,41,41.0,49,83.6734693877551,83.6734693877551,1
