created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,is_external,enable_schema_evolution,owner_role_type,is_event,budget
2023-11-27,ACTIVATIONS_REPORT_AND_SALE,EGGOZDB,MAPLEMONK,TABLE,,,339613,5726208,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,ACTIVE_RETAILERS,EGGOZDB,MAPLEMONK,TABLE,,,264830,10173952,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2022-11-11,AGEING_SUMMARY_TABLE,EGGOZDB,MAPLEMONK,TABLE,,,27525,307712,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,ALL_BILLS,EGGOZDB,MAPLEMONK,TABLE,,,220781,16747008,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,ALL_BILLS_SKU,EGGOZDB,MAPLEMONK,TABLE,,,427652,12855808,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2022-11-29,ALL_LOSS,EGGOZDB,MAPLEMONK,TABLE,,,198,30720,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,AREA_CLASSIFICATION_TARGET,EGGOZDB,MAPLEMONK,TABLE,,,6970,158208,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,BATCH_DATA,EGGOZDB,MAPLEMONK,TABLE,,,8627,137216,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-04-01,BATCH_PROCUREMENT_PROCESSING,EGGOZDB,MAPLEMONK,TABLE,,,6913,471040,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,BATCH_PROCUREMENT_PROCESSING_PACKAGING,EGGOZDB,MAPLEMONK,TABLE,,,8627,747008,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-04-13,BEATWISE_KPI,EGGOZDB,MAPLEMONK,TABLE,,,43157,3738112,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-09,BEATWISE_KPI_ON_MT,EGGOZDB,MAPLEMONK,TABLE,,,12154,1902080,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-04-13,BEATWISE_KPI_OVERALL_FINAL,EGGOZDB,MAPLEMONK,TABLE,,,43169,3718656,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-04-23,BEATWISE_PROFITABILITY_KPI,EGGOZDB,MAPLEMONK,TABLE,,,43719,4686848,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-10-31,BEATWISE_PROFITABILITY_KPI_FINAL,EGGOZDB,MAPLEMONK,TABLE,,,51153,5463552,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2022-03-29,BEAT_ACTIVE_RETAILERS_HISTORICAL,EGGOZDB,MAPLEMONK,TABLE,,,1623,20992,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-08,BEAT_JSE_TARGET,EGGOZDB,MAPLEMONK,TABLE,,,8427,878592,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,BEAT_LEVEL_RETAILER_RANKING,EGGOZDB,MAPLEMONK,TABLE,,,66029,6882304,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,BEAT_LEVEL_SALES_SUMMARY,EGGOZDB,MAPLEMONK,TABLE,,,33800,2404352,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2022-05-21,BEAT_MATERIAL,EGGOZDB,MAPLEMONK,TABLE,,,42534,1004032,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,BEAT_MATERIAL_DEMAND_SUPPLY,EGGOZDB,MAPLEMONK,TABLE,,,30300,3520512,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2022-06-15,BEAT_MATERIAL_DEMAND_SUPPLY_ROW_WISE,EGGOZDB,MAPLEMONK,TABLE,,,80138,1937920,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,BEAT_MATERIAL_KPI,EGGOZDB,MAPLEMONK,TABLE,,,427480,19612160,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2022-07-05,BEAT_TARGET_JSE_GT,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),58,11264,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2022-07-05,BEAT_TARGET_REGION_WISE_TARGET_PLAN,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),16,4096,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2022-03-29,BEAT_UTILIZATION,EGGOZDB,MAPLEMONK,TABLE,,,31048,851456,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-02-10,BEAT_UTILIZATION_FF,EGGOZDB,MAPLEMONK,TABLE,,,115469,5161984,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,BEAT_UTILIZATION_FINAL,EGGOZDB,MAPLEMONK,TABLE,,,140805,6497280,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-10,BEAT_UTILIZATION_TEST,EGGOZDB,MAPLEMONK,TABLE,,,229070,10099712,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-06-21,BEAT_VEHICLE_DRIVER_DATA,EGGOZDB,MAPLEMONK,TABLE,,,67932,5690880,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-02-17,BENGALURU_TRANSPORT_COSTS_FM_VEHICLE_DETAILS,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),1570,109568,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-02-17,BENGALURU_TRANSPORT_COSTS_LAST___MID_MILE,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),3896,373248,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-10,BILLING_RETAILERS,EGGOZDB,MAPLEMONK,TABLE,,,222218,8591872,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,
2023-12-09,BI_ACTIVATIONS_REPORT,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),998,75776,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-08,BI_BEAT_WISE_TARGET,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),1000,96256,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-08,BI_CONTROL_SHEET,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),108,13312,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-09,BI_CUSTOMERS_DATA,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),6635,620032,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-09,BI_DARJAN_TARGET,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),50,8704,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-04,BI_DEALER_TARGET,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),25,6656,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-09,BI_DISCOUNT,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),264,22016,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-10,BI_FIRST_MILE_MAPLEMONK,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),2582,184832,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-09,BI_FIXED_LABOUR_COST,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),204,18944,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-10,BI_FM,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),954,54272,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-05-26,BI_GN2H_SAMPLING_ACTIVITY,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),40,9216,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-10,BI_LAST_MID_MILE,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),999,112640,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-10,BI_LAST_MILE_MAPLEMONK,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),7559,464384,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-09,BI_LEAD_FOLLOW_UP_2,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),3930,475136,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-10,BI_LM,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),997,80896,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-08,BI_ONBOARDING_TARGETS,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),34,12288,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-10-31,BI_ON_MT_EXPECTED_PO,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),213,17408,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-10-31,BI_PACKAGING_COST,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),134,14336,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-08,BI_PARENT_WISE_TARGET,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),792,61440,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-10-31,BI_PJP,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),997,78336,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-12-08,BI_REGION_WISE_TARGET,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),256,23552,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
