retailer_name,onboarding_date,onboarding_status,area_classification,zone_name,city_name,latitude,longitude
"G1538* agarwal store","2020-10-08 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.459,77.044
"G1380* Ankit vita dairy (sector - 28)","2020-07-30 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.46375346,77.08387628
"G1360* ashyan enterprises (chill)","2020-09-18 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.422,77.09
"G1402* Balaji General Store Vakil Market","2020-08-23 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.47367,77.08012
"G1346* balnath store 56","2020-10-28 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.43,77.103
"G1042* brijwashi daily needs(sector-46)","2020-09-20 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.435,77.059
"G1302* daily mart (Takshila Hights) (Amit)","2020-10-20 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.449,76.986
"G1299* DAILY NEEDS SECTOR - 37C (Amit)","2020-10-20 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.452,76.988
"G1114* Daily Needs-69","2020-10-29 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.394,77.032
"G1110* dheeraj super mart 70","2020-11-24 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.386,77.022
"G1081* ekta dairy","2020-10-09 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.418,77.056
"G1115* fresh choice 70","2020-11-06 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.395,77.032
"G1389* Froceries (Essel tower)","2020-08-15 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.477,77.074
"G1225* froceries (sector 65)","2020-11-08 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.403,77.066
"G1306* Gopal ji(Amit)","2020-10-29 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.455,76.977
"G1003* HAPPY GROCERY MART (Amit)","2021-03-15 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.5,77.065
"G1046* haryana kishan mandi (sector -52)","2020-10-26 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.44,77.078
"G1079* haryana kishan mandi (south city 2)","2020-10-26 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.417,77.051
"G1103* ishanvi mart","2020-10-05 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.41759768,77.02848413
"G1041* jagdamba super mart","2020-09-12 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.435,77.06
"G1004* jai mata di deapartment store (Amit)","2020-10-26 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.51802,77.07914
"G1122* jai shree balaji (sector-72)","2020-09-22 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.4106058,77.03503866
"G1370* Kalindi departmental store","2020-10-26 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.39662,77.06128
"G1146* khatana general store(Amit)","2020-10-26 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.473,77.048
"G1020* kirana mart(Amit)","2020-10-25 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.51271,77.03817
"G1087* komal store","2020-10-09 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.42487,77.05888
"G1358* lakshay bakery (sector-56)","2020-09-18 18:30:00.000000",Active,Gurgaon-GT,NCR,Gurgaon,28.423,77.093
"G1470* local vendor","2020-08-12 18:30:00.000000",Active,NCR-UB,NCR,Gurgaon,NULL,NULL
